nom_Person	categorie	nb_Production	aver_Note	sum_numVotes
Jim Abrahams	director	16	7.0	970071
Taylor Sheridan	director	8	7.3	965055
Todd Haynes	director	26	7.2	952546
Andrei Tarkovsky	director	17	8.0	948683
Phil Alden Robinson	director	14	6.9	945658
Mick Jackson	director	33	6.4	944699
Mel Brooks	director	48	7.3	941887
Jonathan Goldstein	director	17	6.7	941594
John Francis Daley	director	22	6.7	941594
Juan Carlos Fresnadillo	director	12	6.8	940176
Oriol Paulo	director	14	7.8	938244
Theodore Melfi	director	8	7.6	934650
Michael Winterbottom	director	75	6.5	934196
Bernardo Bertolucci	director	36	7.2	933878
John Boorman	director	46	7.1	932369
Tyler Gillett	director	10	6.4	929817
Richard Lester	director	55	6.5	927902
Mark Dindal	director	9	6.9	927651
P.J. Hogan	director	19	6.4	918773
Elia Kazan	director	42	7.8	916024
Mike Judge	director	36	6.8	914565
Sam Peckinpah	director	40	7.4	913601
David Lowery	director	20	6.7	913547
Matt Bettinelli-Olpin	director	11	6.4	909764
James Algar	director	31	7.4	908004
S.S. Rajamouli	director	31	7.9	907690
Michael Cimino	director	25	7.7	905560
Scott Hicks	director	31	6.6	901431
Steve Oedekerk	director	17	6.4	899826
Travis Knight	director	7	7.1	897120
David Robert Mitchell	director	9	6.7	883533
Michel Hazanavicius	director	25	7.7	881396
Benny Safdie	director	17	7.4	880909
Michael Dowse	director	22	6.6	877716
James Watkins	director	8	6.4	866008
George Nolfi	director	8	7.0	863934
Jeff Nichols	director	12	7.1	857313
André Øvredal	director	15	6.6	856305
Dexter Fletcher	director	71	7.3	850567
Paco Plaza	director	22	6.9	849768
Fred Zinnemann	director	54	7.7	848959
Dario Argento	director	57	6.7	848915
John Hamburg	director	9	6.5	848315
Carol Reed	director	70	7.8	846096
Karan Johar	director	30	7.2	844083
Thomas Carter	director	26	6.8	838905
Mike Johnson	director	11	7.3	835405
Niki Caro	director	17	6.4	831680
Herbert Ross	director	56	6.8	827850
Jean-Luc Godard	director	124	7.2	826211
Ben Affleck	director	120	7.6	825114
Anurag Kashyap	director	63	7.5	823502
Gurinder Chadha	director	28	6.8	821093
Sang-ho Yeon	director	21	7.3	819981
John Dahl	director	27	6.9	818447
James Bobin	director	12	6.5	814890
Sam Fell	director	9	6.7	813624
Kinji Fukasaku	director	138	7.3	811664
Gary Goldman	director	21	6.7	811341
Jaco Van Dormael	director	14	7.7	810676
Robert Aldrich	director	82	7.4	805336
David Michôd	director	12	6.9	804102
Terry Zwigoff	director	14	7.2	803571
Eric Goldberg	director	9	6.6	802323
Philip Kaufman	director	31	7.0	799815
Harry Bradbeer	director	15	6.6	796019
Priyadarshan	director	172	7.1	794764
Robert Mulligan	director	45	8.0	793916
François Truffaut	director	59	7.6	791213
Federico Fellini	director	55	7.7	789863
Tobe Hooper	director	47	6.6	789400
Nitesh Tiwari	director	14	8.2	786698
Christian Alvart	director	33	6.5	786555
Neeraj Pandey	director	16	7.9	778722
Christophe Gans	director	12	6.6	778606
Greg Berlanti	director	9	7.0	774291
